@relation 'dataset-information'
@attribute 'id' numeric
@attribute 'State' {AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY}
@attribute 'Account_length ' numeric
@attribute 'Area_code ' numeric
@attribute 'International_plan ' {No, Yes}
@attribute 'Voice_mail_plan ' {No, Yes}
@attribute 'Number_vmail_messages ' numeric
@attribute 'Total_day_minutes ' numeric
@attribute 'Total_day_calls' numeric
@attribute 'Total_day_charge' numeric
@attribute 'Total_eve_minutes' numeric
@attribute 'Total_eve_calls' numeric
@attribute 'Total_eve_charge' numeric
@attribute 'Total_night_minutes' numeric
@attribute 'Total_night_calls' numeric
@attribute 'Total_night_charge' numeric
@attribute 'Total_intl_minutes' numeric
@attribute 'Total_intl_calls' numeric
@attribute 'Total_intl_charge' numeric
@attribute 'Customer_service_calls ' numeric
@attribute 'Churn_Label' {FALSE, TRUE}
@data
7380,MS,193,415,No,No,0,170.9,124,29.05,132.3,95,11.25,112.9,89,5.08,11.6,3,3.13,1,FALSE
7381,NV,130,510,No,No,0,154.2,119,26.21,110.2,98,9.37,227.4,117,10.23,9.2,5,2.48,2,FALSE
7382,AZ,85,408,No,No,0,201.4,52,34.24,229.4,104,19.5,252.5,106,11.36,12,3,3.24,1,FALSE
7383,MS,162,415,No,No,0,70.7,108,12.02,157.5,87,13.39,154.8,82,6.97,9.1,3,2.46,4,TRUE
7384,MS,61,510,No,Yes,27,187.5,124,31.88,146.6,103,12.46,225.7,129,10.16,6.4,6,1.73,4,TRUE
7385,TX,92,408,No,No,0,91.7,90,15.59,193.7,123,16.46,175,86,7.88,9.2,4,2.48,2,FALSE
7386,NE,131,408,No,Yes,36,214.2,115,36.41,161.7,117,13.74,264.7,102,11.91,9.5,4,2.57,3,FALSE
7387,NE,90,415,No,No,0,145.5,92,24.74,217.7,114,18.5,146.9,123,6.61,10.9,2,2.94,3,FALSE
7388,NJ,78,415,No,No,0,231,115,39.27,230.4,140,19.58,261.4,120,11.76,9.5,3,2.57,1,FALSE
7389,TX,82,408,No,No,0,200.3,96,34.05,201.2,102,17.1,206.1,60,9.27,7.1,1,1.92,4,FALSE
7390,AR,163,408,No,No,0,197,109,33.49,202.6,128,17.22,206.4,80,9.29,9.1,10,2.46,1,FALSE
7391,AL,91,510,Yes,No,0,129.9,112,22.08,173.3,83,14.73,247.2,130,11.12,11.2,3,3.02,3,FALSE
7392,NY,75,415,No,Yes,21,175.8,97,29.89,217.5,106,18.49,237.5,134,10.69,5.3,4,1.43,5,FALSE
7393,FL,91,510,No,No,0,203.1,106,34.53,210.1,113,17.86,195.6,129,8.8,12,3,3.24,3,FALSE
7394,AK,127,510,No,Yes,36,183.2,117,31.14,126.8,76,10.78,263.3,71,11.85,11.2,8,3.02,1,FALSE
7395,NV,113,415,No,Yes,23,205,101,34.85,152,60,12.92,158.6,59,7.14,10.2,5,2.75,2,FALSE
7396,DE,110,510,No,No,0,148.5,115,25.25,276.4,84,23.49,193.6,112,8.71,12.4,3,3.35,1,FALSE
7397,MD,120,415,No,Yes,39,200.3,68,34.05,220.4,97,18.73,253.8,116,11.42,10.5,4,2.84,0,FALSE
7398,MI,157,415,No,Yes,28,192.6,107,32.74,195.5,74,16.62,109.7,139,4.94,6.8,5,1.84,3,FALSE
7399,VT,103,510,No,No,0,246.5,47,41.91,195.5,84,16.62,200.5,96,9.02,11.7,4,3.16,1,FALSE
7400,VT,117,408,Yes,No,0,167.1,86,28.41,177.5,87,15.09,249.4,132,11.22,14.1,7,3.81,2,TRUE
7401,MI,140,415,No,No,0,231.9,101,39.42,160.1,94,13.61,110.4,98,4.97,14.3,6,3.86,3,FALSE
7402,UT,83,408,Yes,No,0,271.5,87,46.16,216.3,126,18.39,121.1,105,5.45,11.7,4,3.16,1,FALSE
7403,RI,145,408,No,Yes,43,257.7,97,43.81,162.1,95,13.78,286.9,86,12.91,11.1,4,3,2,FALSE
7404,IA,113,408,No,No,0,193.8,99,32.95,221.4,125,18.82,172.3,67,7.75,10.6,6,2.86,1,FALSE
7405,RI,56,415,No,No,0,226,112,38.42,248.5,118,21.12,140.5,142,6.32,6.9,11,1.86,1,FALSE
7406,OK,96,415,No,No,0,260.4,115,44.27,146,46,12.41,269.5,87,12.13,11.5,4,3.11,5,FALSE
7407,LA,151,408,No,No,0,178.7,116,30.38,292.1,138,24.83,265.9,101,11.97,9.8,4,2.65,0,FALSE
7408,OH,83,415,No,No,0,337.4,120,57.36,227.4,116,19.33,153.9,114,6.93,15.8,7,4.27,0,TRUE
7409,VA,139,510,No,Yes,23,157.6,129,26.79,247,96,21,259.2,112,11.66,13.7,2,3.7,0,FALSE
7410,FL,115,510,No,Yes,24,142.1,124,24.16,183.4,129,15.59,164.8,114,7.42,9.6,4,2.59,1,FALSE
7411,SC,87,415,No,No,0,136.3,97,23.17,172.2,108,14.64,137.5,101,6.19,7.1,5,1.92,0,FALSE
7412,VA,141,415,No,No,0,217.1,110,36.91,241.5,111,20.53,253.5,103,11.41,12,6,3.24,0,FALSE
7413,IA,141,510,No,Yes,36,187.5,99,31.88,241.4,116,20.52,229.5,105,10.33,10.5,5,2.84,3,FALSE
7414,MI,62,415,No,No,0,98.9,103,16.81,135.4,122,11.51,236.6,82,10.65,12.2,1,3.29,1,FALSE
7415,OK,146,415,No,No,0,206.3,151,35.07,148.6,89,12.63,167.2,91,7.52,6.1,3,1.65,1,FALSE
7416,DE,92,415,No,Yes,33,243.1,92,41.33,213.8,92,18.17,228.7,104,10.29,12.1,2,3.27,2,FALSE
7417,GA,185,510,No,Yes,31,189.8,126,32.27,163.3,133,13.88,264.8,126,11.92,7.5,3,2.03,1,FALSE
7418,DC,148,415,No,No,0,202,102,34.34,243.2,128,20.67,261.3,90,11.76,10.9,3,2.94,1,FALSE
7419,AZ,94,408,No,Yes,38,170.1,124,28.92,193.3,116,16.43,105.9,73,4.77,12.8,4,3.46,1,FALSE
7420,CO,68,408,No,No,0,237.1,105,40.31,223.5,105,19,97.4,79,4.38,13.2,2,3.56,1,FALSE
7421,LA,179,408,No,No,0,219.2,92,37.26,149.4,125,12.7,244.7,104,11.01,6.1,5,1.65,0,FALSE
7422,NE,94,415,No,No,0,252.6,104,42.94,169,125,14.37,170.9,106,7.69,11.1,7,3,2,FALSE
7423,MN,62,415,No,No,0,147.1,91,25.01,190.4,107,16.18,195.2,115,8.78,12.2,3,3.29,0,FALSE
7424,AR,116,408,No,No,0,173.5,93,29.5,194.1,76,16.5,208,112,9.36,16.2,10,4.37,3,FALSE
7425,WV,94,510,Yes,Yes,23,197.1,125,33.51,214.5,136,18.23,282.2,103,12.7,9.5,5,2.57,4,FALSE
7426,AK,126,415,No,No,0,58.2,94,9.89,138.7,118,11.79,136.8,91,6.16,11.9,1,3.21,5,TRUE
7427,NY,67,408,No,Yes,36,115.6,111,19.65,237.7,94,20.2,169.9,103,7.65,9.9,12,2.67,2,FALSE
7428,NH,19,408,No,No,0,186.1,98,31.64,254.3,57,21.62,214,127,9.63,14.6,7,3.94,2,FALSE
7429,VA,170,510,Yes,No,0,259.9,68,44.18,245,122,20.83,134.4,121,6.05,8.4,3,2.27,3,FALSE
7430,NM,73,415,No,No,0,214.3,145,36.43,268.5,135,22.82,241.2,92,10.85,10.8,13,2.92,1,FALSE
7431,NY,106,408,No,No,0,158.7,74,26.98,64.3,139,5.47,198.5,103,8.93,10.2,4,2.75,1,FALSE
7432,WY,164,510,No,No,0,160.6,111,27.3,163.2,126,13.87,187.1,112,8.42,9,3,2.43,1,FALSE
7433,WA,51,408,No,No,0,232.4,109,39.51,187.4,95,15.93,231.2,107,10.4,9.1,3,2.46,1,FALSE
7434,CO,107,415,No,No,0,133.8,85,22.75,180.5,94,15.34,112.2,115,5.05,8.9,4,2.4,0,FALSE
7435,TX,130,415,No,No,0,176.9,109,30.07,90.7,104,7.71,238,69,10.71,9.5,2,2.57,1,FALSE
7436,KY,80,408,No,No,0,209.9,74,35.68,195.1,77,16.58,208.2,119,9.37,8.8,4,2.38,2,FALSE
7437,MT,94,415,No,No,0,137.5,118,23.38,203.2,88,17.27,150,131,6.75,13.4,2,3.62,0,FALSE
7438,OK,118,408,No,Yes,23,289.5,52,49.22,166.6,111,14.16,119.1,88,5.36,9.5,4,2.57,1,FALSE
7439,MD,117,415,No,Yes,23,198.1,86,33.68,177,86,15.05,180.5,92,8.12,6.8,6,1.84,1,FALSE
7440,TN,78,415,No,No,0,149.7,119,25.45,182.2,115,15.49,261.5,126,11.77,9.7,8,2.62,0,FALSE
7441,ME,131,510,Yes,Yes,26,292.9,101,49.79,199.7,97,16.97,255.3,127,11.49,13.8,7,3.73,4,TRUE
7442,DC,63,408,No,No,0,83,64,14.11,177,106,15.05,245.7,89,11.06,13,3,3.51,0,FALSE
7443,MN,53,415,No,Yes,24,145.7,146,24.77,220.5,136,18.74,249.9,96,11.25,13.1,5,3.54,3,FALSE
7444,DE,62,408,No,No,0,182.3,101,30.99,328.2,93,27.9,245,131,11.03,11.2,1,3.02,2,FALSE
7445,MD,97,415,No,No,0,218,86,37.06,184,94,15.64,240.5,110,10.82,6.4,8,1.73,3,FALSE
7446,MI,105,510,No,No,0,140.6,109,23.9,178.6,51,15.18,217,83,9.76,6.8,3,1.84,2,FALSE
7447,WA,157,415,No,No,0,152.7,105,25.96,257.5,80,21.89,198.1,93,8.91,9.4,4,2.54,1,FALSE
7448,MO,66,415,No,Yes,36,106.7,76,18.14,209.8,77,17.83,190.4,117,8.57,12.1,2,3.27,1,FALSE
7449,OR,38,415,No,No,0,194.4,94,33.05,186.7,95,15.87,223.3,90,10.05,10.8,5,2.92,3,FALSE
7450,MD,106,510,No,No,0,213.9,95,36.36,151.9,70,12.91,260.1,124,11.7,12.2,5,3.29,3,FALSE
7451,RI,99,510,No,No,0,217.2,112,36.92,246.7,89,20.97,226.1,89,10.17,15.8,7,4.27,3,FALSE
7452,AZ,144,510,Yes,No,0,203.5,100,34.6,247.6,103,21.05,194.3,94,8.74,11.9,11,3.21,0,FALSE
7453,PA,82,415,No,Yes,24,155.2,131,26.38,244.5,106,20.78,122.4,68,5.51,10.7,3,2.89,1,FALSE
7454,AZ,86,408,No,Yes,31,167.6,139,28.49,113,118,9.61,246.9,121,11.11,12.2,6,3.29,1,FALSE
7455,FL,70,510,Yes,No,0,226.7,98,38.54,228.1,115,19.39,73.2,93,3.29,17.6,4,4.75,2,TRUE
7456,LA,93,415,No,No,0,179.3,93,30.48,178.6,98,15.18,225.2,131,10.13,11.5,6,3.11,3,FALSE
7457,FL,93,415,No,No,0,151.4,89,25.74,186.4,76,15.84,172.5,120,7.76,10.9,3,2.94,0,FALSE
7458,FL,120,415,No,No,0,180,80,30.6,224.2,82,19.06,265.4,91,11.94,4.7,7,1.27,3,FALSE
7459,MD,136,415,No,No,0,250.2,121,42.53,267.1,118,22.7,151,114,6.8,13,2,3.51,1,TRUE
7460,AL,106,415,No,No,0,223,121,37.91,110.1,98,9.36,188.7,107,8.49,7.1,12,1.92,0,FALSE
7461,WA,81,415,No,No,0,183.6,116,31.21,152.6,98,12.97,212.2,99,9.55,12.2,6,3.29,3,FALSE
7462,TN,127,408,No,Yes,22,166,114,28.22,174.5,103,14.83,244.9,68,11.02,10.2,6,2.75,1,FALSE
7463,ME,35,408,No,No,0,149.3,113,25.38,242.2,122,20.59,174.3,104,7.84,8.9,6,2.4,2,FALSE
7464,OK,88,408,No,No,0,65.4,97,11.12,168.2,76,14.3,236,113,10.62,13.8,1,3.73,2,FALSE
7465,MO,123,415,No,No,0,206.9,85,35.17,244.7,78,20.8,221.5,136,9.97,7.7,2,2.08,3,FALSE
7466,IA,126,408,No,Yes,27,186.2,78,31.65,189.6,83,16.12,76.5,139,3.44,9.6,3,2.59,2,FALSE
7467,VA,104,415,No,Yes,23,280.2,136,47.63,220.5,92,18.74,136.9,102,6.16,13.3,3,3.59,4,FALSE
7468,MD,93,408,Yes,No,0,312,109,53.04,129.4,100,11,217.6,74,9.79,10.5,2,2.84,0,TRUE
7469,OH,63,415,Yes,Yes,36,199,110,33.83,291.3,111,24.76,197.6,92,8.89,11,6,2.97,1,FALSE
7470,OK,100,415,No,No,0,203.1,96,34.53,217,126,18.45,180.9,122,8.14,13.5,2,3.65,3,FALSE
7471,NV,53,415,No,No,0,168.8,97,28.7,220.3,87,18.73,154.3,113,6.94,10.9,2,2.94,0,FALSE
7472,ID,92,415,Yes,No,0,173.1,140,29.43,240.3,105,20.43,233.2,117,10.49,9,5,2.43,1,FALSE
7473,SD,110,408,No,Yes,40,202.6,103,34.44,118.8,128,10.1,234.9,98,10.57,9,9,2.43,2,FALSE
7474,IL,110,408,No,No,0,74.5,117,12.67,200.8,98,17.07,192.2,101,8.65,9.8,7,2.65,3,FALSE
7475,AL,73,415,No,No,0,192.2,86,32.67,168.6,116,14.33,139.8,87,6.29,9.4,6,2.54,1,FALSE
7476,NJ,138,510,No,No,0,220.2,89,37.43,88.3,125,7.51,195.3,79,8.79,12.9,5,3.48,0,FALSE
7477,NV,137,415,Yes,No,0,135.1,95,22.97,134.1,102,11.4,223.1,81,10.04,12.3,2,3.32,2,TRUE
7478,IN,36,415,No,No,0,253.4,77,43.08,182.4,151,15.5,275.8,103,12.41,8.4,2,2.27,1,FALSE
7479,WV,85,408,No,No,0,225,81,38.25,176.9,63,15.04,194.3,110,8.74,7.1,2,1.92,3,FALSE
7480,VA,108,408,No,No,0,198.5,99,33.75,267.8,60,22.76,354.9,75,15.97,9.4,3,2.54,0,TRUE
7481,SC,22,408,No,No,0,110.3,107,18.75,166.5,93,14.15,202.3,96,9.1,9.5,5,2.57,0,FALSE
7482,RI,107,415,No,Yes,37,60,102,10.2,102.2,80,8.69,261.8,106,11.78,11.1,3,3,0,FALSE
7483,IN,51,510,No,No,0,214.8,94,36.52,149.7,58,12.72,283.4,66,12.75,10.2,5,2.75,0,FALSE
7484,OR,33,415,No,Yes,29,157.4,99,26.76,117.9,80,10.02,279.2,79,12.56,13.9,11,3.75,4,TRUE
7485,NJ,106,415,No,No,0,207.9,91,35.34,172,109,14.62,191.8,143,8.63,14.4,7,3.89,4,FALSE
7486,MS,82,408,No,No,0,207,90,35.19,232.9,83,19.8,172.4,108,7.76,9.1,8,2.46,3,FALSE
7487,TX,97,415,Yes,No,0,143.7,117,24.43,273,82,23.21,178.3,81,8.02,10.9,3,2.94,0,FALSE
7488,DC,108,510,No,No,0,138.6,122,23.56,172.3,117,14.65,231.6,92,10.42,9.8,3,2.65,1,FALSE
7489,TX,114,415,No,No,0,84.7,118,14.4,249.9,86,21.24,193.4,95,8.7,14.5,8,3.92,1,FALSE
7490,UT,59,510,No,No,0,155.2,79,26.38,235.3,123,20,169.4,80,7.62,8.7,4,2.35,1,FALSE
7491,MN,24,510,No,Yes,25,164.9,110,28.03,209.3,105,17.79,231.2,55,10.4,6.7,9,1.81,1,FALSE
7492,IL,151,408,No,No,0,134.5,88,22.87,143.1,112,12.16,223.9,61,10.08,15.4,1,4.16,1,FALSE
7493,NM,117,415,No,No,0,143.3,103,24.36,211.3,108,17.96,185.2,96,8.33,11.5,3,3.11,1,FALSE
7494,WV,114,510,No,Yes,30,206.2,79,35.05,260,91,22.1,291.6,83,13.12,11.4,6,3.08,1,FALSE
7495,RI,114,510,No,Yes,28,225.8,94,38.39,193,117,16.41,232.4,100,10.46,8.4,9,2.27,4,FALSE
7496,NH,119,408,No,No,0,138.3,89,23.51,170.5,78,14.49,263.9,98,11.88,13.5,6,3.65,3,FALSE
7497,MA,118,408,Yes,No,0,160,123,27.2,175.4,96,14.91,184.8,99,8.32,9.9,3,2.67,2,FALSE
7498,PA,101,415,No,No,0,206.6,105,35.12,224.9,117,19.12,249.9,100,11.25,14.6,3,3.94,0,FALSE
7499,OK,117,415,No,No,0,134.7,121,22.9,180,83,15.3,200.9,104,9.04,7.7,3,2.08,1,FALSE
7500,AL,49,415,No,Yes,28,214.4,78,36.45,235.2,100,19.99,206.2,107,9.28,8,13,2.16,3,FALSE
7501,WY,139,415,No,No,0,192.8,104,32.78,234.4,96,19.92,203.2,101,9.14,13,3,3.51,3,FALSE
7502,PA,92,408,No,Yes,28,151.1,90,25.69,194.8,79,16.56,239.2,114,10.76,10,3,2.7,1,FALSE
7503,HI,148,510,Yes,No,0,218.9,88,37.21,208,85,17.68,203.3,99,9.15,11.1,4,3,0,FALSE
7504,AL,131,415,No,Yes,25,192.7,85,32.76,225.9,105,19.2,254.2,59,11.44,10.9,6,2.94,2,FALSE
7505,VT,146,510,Yes,No,0,204.4,135,34.75,219.1,90,18.62,222.7,114,10.02,10.5,6,2.84,3,FALSE
7506,AK,48,415,No,Yes,37,211.7,115,35.99,159.9,84,13.59,144.1,80,6.48,12.2,1,3.29,1,FALSE
7507,MI,86,415,No,Yes,28,221.6,74,37.67,288.4,100,24.51,240.3,105,10.81,9,2,2.43,1,FALSE
7508,DE,71,415,No,No,0,197.9,108,33.64,181.5,109,15.43,281.4,56,12.66,6.7,5,1.81,3,FALSE
7509,MI,137,510,No,No,0,206.4,122,35.09,128,102,10.88,194.5,84,8.75,8.8,5,2.38,2,FALSE
7510,KS,137,408,No,No,0,205.9,88,35,209.3,86,17.79,289.9,84,13.05,14.5,4,3.92,2,FALSE
7511,AL,167,510,No,No,0,207.6,88,35.29,132.4,63,11.25,255.2,98,11.48,14.1,5,3.81,0,FALSE
7512,NE,132,510,No,No,0,99.5,110,16.92,129.1,80,10.97,125.1,124,5.63,9.7,3,2.62,0,FALSE
7513,WI,94,510,No,No,0,177.1,112,30.11,194,112,16.49,146.7,108,6.6,5.9,4,1.59,1,FALSE
7514,WI,96,510,No,Yes,18,172.7,86,29.36,133.4,113,11.34,259.5,70,11.68,9.8,3,2.65,1,FALSE
7515,IN,166,510,No,No,0,204.2,115,34.71,179.9,152,15.29,216.8,109,9.76,9.5,5,2.57,1,FALSE
7516,DC,74,415,No,No,0,85.7,83,14.57,247.7,67,21.05,142.4,85,6.41,10.1,5,2.73,2,FALSE
7517,AR,36,415,No,No,0,157.6,117,26.79,184.3,58,15.67,240.4,99,10.82,11.9,1,3.21,0,FALSE
7518,ME,113,415,No,No,0,215.5,129,36.64,218.7,117,18.59,207.1,91,9.32,6.6,9,1.78,4,FALSE
7519,MD,67,415,No,No,0,171.7,80,29.19,110.4,81,9.38,195.4,111,8.79,11.9,4,3.21,2,FALSE
7520,IA,158,415,No,No,0,158,106,26.86,292.5,114,24.86,241.1,89,10.85,9.1,4,2.46,1,FALSE
7521,AZ,136,510,No,No,0,92,117,15.64,253.6,77,21.56,214.1,90,9.63,10.3,10,2.78,1,FALSE
7522,MO,196,415,No,No,0,234,109,39.78,249.5,114,21.21,173.1,70,7.79,9.1,5,2.46,2,FALSE
7523,VT,113,415,No,No,0,272.1,111,46.26,268.5,118,22.82,213.8,105,9.62,8.5,10,2.3,1,TRUE
7524,RI,112,510,No,No,0,194.4,101,33.05,190.3,82,16.18,183.4,107,8.25,11.4,2,3.08,0,FALSE
7525,SD,209,415,No,No,0,227.2,128,38.62,258.4,92,21.96,183.5,74,8.26,8.9,4,2.4,3,FALSE
7526,MN,62,415,No,No,0,248.7,109,42.28,220,118,18.7,265.7,78,11.96,13.2,2,3.56,1,TRUE
7527,TX,110,415,No,Yes,38,236.3,102,40.17,195.9,112,16.65,183.5,82,8.26,9.7,6,2.62,1,FALSE
7528,VA,16,510,No,No,0,205.6,69,34.95,169.5,93,14.41,220.1,64,9.9,10.9,3,2.94,0,FALSE
7529,MA,73,408,No,No,0,94.1,136,16,280.3,122,23.83,205,77,9.23,9.8,4,2.65,0,FALSE
7530,ID,128,408,No,No,0,125.2,99,21.28,205.4,107,17.46,254.4,111,11.45,18.9,2,5.1,0,FALSE
7531,MA,39,408,No,No,0,60.4,158,10.27,306.2,120,26.03,123.9,46,5.58,12.4,3,3.35,1,FALSE
7532,GA,103,415,No,Yes,28,121,105,20.57,270.4,100,22.98,160.5,76,7.22,7.7,4,2.08,2,FALSE
7533,RI,119,415,No,Yes,29,117.8,66,20.03,256.8,114,21.83,147.6,76,6.64,7.6,3,2.05,3,FALSE
7534,ID,173,510,No,Yes,21,232.4,96,39.51,211.9,118,18.01,273,102,12.29,5,5,1.35,3,FALSE
7535,SD,128,510,Yes,Yes,32,223.5,81,38,188.8,74,16.05,154.9,101,6.97,9.4,2,2.54,2,TRUE
7536,MA,86,510,No,No,0,176.3,79,29.97,259.2,97,22.03,287.4,78,12.93,6.2,3,1.67,0,FALSE
7537,WY,114,415,No,Yes,32,125.2,79,21.28,177.8,105,15.11,232.4,89,10.46,12.9,3,3.48,1,FALSE
7538,VA,104,408,No,No,0,138.7,107,23.58,256.9,113,21.84,234.9,74,10.57,10,3,2.7,0,FALSE
7539,OR,148,415,No,No,0,86.3,134,14.67,246.6,92,20.96,251.6,91,11.32,11.3,4,3.05,1,FALSE
7540,VA,129,408,No,No,0,207,91,35.19,154.9,121,13.17,245.1,112,11.03,13.4,5,3.62,3,FALSE
7541,ME,100,510,No,Yes,30,58.8,104,10,219.5,107,18.66,152.3,118,6.85,7.1,3,1.92,0,FALSE
7542,GA,143,408,No,Yes,33,239.2,109,40.66,235.5,112,20.02,156.3,95,7.03,9.5,4,2.57,1,FALSE
7543,IA,76,510,No,No,0,198.3,130,33.71,217.1,86,18.45,188.4,96,8.48,12.5,3,3.38,0,FALSE
7544,AZ,158,510,No,No,0,205.2,97,34.88,240.6,77,20.45,79.7,108,3.59,14.4,12,3.89,0,FALSE
7545,FL,116,510,No,No,0,192.1,98,32.66,312.9,135,26.6,130.2,94,5.86,7.9,2,2.13,3,FALSE
7546,MT,54,415,No,No,0,272.6,83,46.34,248.7,74,21.14,197.4,111,8.88,9.5,2,2.57,1,TRUE
7547,AL,86,415,No,No,0,128.3,121,21.81,197.1,93,16.75,138.4,152,6.23,12.2,5,3.29,7,TRUE
7548,DE,108,510,No,No,0,169.6,99,28.83,264.1,87,22.45,206.3,78,9.28,9.3,4,2.51,0,FALSE
7549,MT,66,510,No,No,0,201.3,95,34.22,152.8,66,12.99,233.2,101,10.49,7.5,4,2.03,1,FALSE
7550,KY,151,408,No,Yes,17,214.7,97,36.5,138.5,90,11.77,169.1,44,7.61,8.6,4,2.32,1,FALSE
7551,SC,99,510,No,No,0,169.2,70,28.76,271.5,77,23.08,170.2,104,7.66,10.6,2,2.86,0,FALSE
7552,WA,55,415,No,No,0,194.1,121,33,176.6,110,15.01,302.8,136,13.63,7,7,1.89,2,FALSE
7553,AK,78,408,No,No,0,225.1,67,38.27,199.2,127,16.93,175.5,102,7.9,14.6,2,3.94,0,FALSE
7554,GA,89,415,No,No,0,213,63,36.21,176.6,71,15.01,262.6,126,11.82,9.1,1,2.46,1,TRUE
7555,MN,101,415,No,No,0,183.9,115,31.26,255.9,101,21.75,275,145,12.38,10.8,11,2.92,1,FALSE
7556,IL,44,415,No,Yes,34,221.8,105,37.71,161.7,85,13.74,227.7,62,10.25,14,7,3.78,0,FALSE
7557,SC,64,510,No,Yes,37,154.6,92,26.28,83.4,103,7.09,165.9,99,7.47,13.3,3,3.59,1,FALSE
7558,VA,141,415,No,No,0,260.2,131,44.23,179.2,120,15.23,135,119,6.08,7.2,8,1.94,3,FALSE
7559,WI,81,415,No,Yes,33,161.6,117,27.47,123,90,10.46,261.3,101,11.76,12.2,5,3.29,1,FALSE
7560,VT,162,510,No,No,0,220.6,117,37.5,155.2,121,13.19,186.7,89,8.4,10.5,11,2.84,1,FALSE
7561,AZ,83,415,No,Yes,41,155.9,122,26.5,162.3,107,13.8,127.6,105,5.74,13.1,5,3.54,3,FALSE
7562,FL,100,510,No,No,0,107,63,18.19,105.7,67,8.98,243.1,74,10.94,12.8,3,3.46,4,TRUE
7563,AK,59,510,No,No,0,182.5,104,31.03,204.7,95,17.4,229.9,100,10.35,11.3,8,3.05,4,FALSE
7564,AR,179,415,Yes,Yes,38,220.1,78,37.42,234.3,71,19.92,237.3,85,10.68,10.1,4,2.73,4,FALSE
7565,AR,79,408,No,No,0,152.2,112,25.87,177.2,132,15.06,96.4,87,4.34,5.3,3,1.43,1,FALSE
7566,AK,117,415,No,No,0,181.5,95,30.86,205.1,88,17.43,204,82,9.18,14.7,9,3.97,2,FALSE
7567,ME,31,415,No,No,0,166.1,105,28.24,79.3,93,6.74,213.7,98,9.62,12.7,2,3.43,1,FALSE
7568,NM,122,408,No,Yes,23,134.2,85,22.81,227.3,132,19.32,122.4,96,5.51,8.5,2,2.3,2,FALSE
7569,NE,37,408,Yes,Yes,39,149.7,122,25.45,211.1,75,17.94,114.3,90,5.14,9.2,4,2.48,1,FALSE
7570,SC,90,408,No,Yes,29,150.1,109,25.52,264.7,103,22.5,178.4,97,8.03,5.8,4,1.57,1,FALSE
7571,CO,159,408,Yes,No,0,257.1,53,43.71,312.2,127,26.54,183,82,8.24,8.8,6,2.38,1,TRUE
7572,OH,39,415,No,Yes,36,141.7,121,24.09,232.3,113,19.75,222.1,131,9.99,12,5,3.24,1,FALSE
7573,OK,194,408,No,No,0,162.3,88,27.59,213.7,118,18.16,192.1,81,8.64,10.9,2,2.94,0,FALSE
7574,CO,154,415,No,No,0,350.8,75,59.64,216.5,94,18.4,253.9,100,11.43,10.1,9,2.73,1,TRUE
7575,NC,112,415,No,No,0,193.3,96,32.86,264.1,123,22.45,128.6,115,5.79,9.1,3,2.46,4,FALSE
7576,MD,45,415,No,No,0,78.2,127,13.29,253.4,108,21.54,255,100,11.48,18,3,4.86,1,FALSE
7577,KS,132,415,No,No,0,83.4,110,14.18,232.2,137,19.74,146.7,114,6.6,7.6,5,2.05,1,FALSE
7578,MA,128,415,No,No,0,195.6,99,33.25,267.8,120,22.76,164.9,76,7.42,16,2,4.32,0,FALSE
7579,NM,56,408,No,No,0,197,110,33.49,222.8,102,18.94,225.3,91,10.14,10.6,6,2.86,2,FALSE
7580,CA,151,415,Yes,No,0,218,57,37.06,114.4,88,9.72,269.2,95,12.11,12.4,1,3.35,0,TRUE
7581,NY,32,415,No,No,0,164.8,98,28.02,229.9,96,19.54,167.3,108,7.53,14.8,2,4,2,FALSE
7582,AZ,90,415,No,No,0,179.2,77,30.46,210.7,99,17.91,276.9,58,12.46,9.2,6,2.48,2,FALSE
7583,DC,138,415,No,No,0,170.5,87,28.99,118.2,116,10.05,187.9,111,8.46,11.2,7,3.02,2,FALSE
7584,ND,79,408,No,No,0,205.7,123,34.97,214.5,108,18.23,226.1,106,10.17,6.7,18,1.81,1,FALSE
7585,MO,95,415,Yes,No,0,165.5,84,28.14,286.2,112,24.33,198.9,89,8.95,11.5,2,3.11,1,TRUE
7586,KS,127,415,No,No,0,221,100,37.57,160.7,113,13.66,233.1,96,10.49,6.8,4,1.84,2,FALSE
7587,SD,137,510,No,No,0,242.1,118,41.16,191,93,16.24,218.6,50,9.84,14.7,2,3.97,3,FALSE
7588,OK,97,415,No,No,0,151.6,107,25.77,155.4,96,13.21,240,112,10.8,14.7,4,3.97,1,FALSE
7589,OR,149,415,Yes,No,0,176.2,87,29.95,145,81,12.33,249.5,92,11.23,5.7,4,1.54,0,FALSE
7590,IN,117,415,Yes,Yes,22,196,82,33.32,322.7,82,27.43,225.6,120,10.15,3.7,5,1,1,FALSE
7591,OH,84,408,No,No,0,159.5,125,27.12,247.1,90,21,187.9,82,8.46,7.2,4,1.94,2,FALSE
7592,KS,137,415,No,No,0,230.2,113,39.13,220.4,79,18.73,204.7,111,9.21,10.7,7,2.89,4,FALSE
